LOCATION,BEVERAGE TYPES,TIME,VALUE
Poland,Beer,2007,5.55
Poland,Wine,2007,1.27
Poland,Spirits,2007,3.57
Poland,Other alcoholic beverages,2007,0.0
Portugal,All types,2007,11.54
Portugal,Beer,2007,3.16
Portugal,Wine,2007,5.99
Portugal,Spirits,2007,2.01
Portugal,Other alcoholic beverages,2007,0.38
Romania,All types,2007,11.06
Romania,Beer,2007,5.62
Romania,Wine,2007,3.43
Romania,Spirits,2007,2.01
Romania,Other alcoholic beverages,2007,0.0
Slovakia,All types,2007,10.96
Slovakia,Beer,2007,3.93
Slovakia,Wine,2007,1.79
Slovakia,Spirits,2007,4.89
Slovakia,Other alcoholic beverages,2007,0.36
Slovenia,All types,2007,11.02
Slovenia,Beer,2007,5.7
Slovenia,Wine,2007,4.08
Slovenia,Spirits,2007,1.24
Slovenia,Other alcoholic beverages,2007,0.0
Spain,All types,2007,11.05
Spain,Beer,2007,5.09
Spain,Wine,2007,2.78
Spain,Spirits,2007,3.18
Spain,Other alcoholic beverages,2007,0.0
Sweden,All types,2007,6.98
Sweden,Beer,2007,2.73
Sweden,Wine,2007,3.04
Sweden,Spirits,2007,1.09
Sweden,Other alcoholic beverages,2007,0.12
Switzerland,All types,2007,10.44
Switzerland,Beer,2007,3.32
Switzerland,Wine,2007,5.1
Switzerland,Spirits,2007,1.9
Switzerland,Other alcoholic beverages,2007,0.12
Ukraine,All types,2007,8.12
Ukraine,Beer,2007,3.58
Ukraine,Wine,2007,0.45
Ukraine,Spirits,2007,4.02
Ukraine,Other alcoholic beverages,2007,0.08
Albania,All types,2006,5.17
Albania,Beer,2006,1.79
Albania,Wine,2006,1.0
Albania,Spirits,2006,2.28
Albania,Other alcoholic beverages,2006,0.1
Andorra,All types,2006,11.89
Andorra,Beer,2006,3.34
Andorra,Wine,2006,5.57
Andorra,Spirits,2006,2.88
Andorra,Other alcoholic beverages,2006,0.0
Austria,All types,2006,12.58
Austria,Beer,2006,6.41
Austria,Wine,2006,4.39
Austria,Spirits,2006,1.78
Austria,Other alcoholic beverages,2006,0.0
Belarus,All types,2006,12.61
Belarus,Beer,2006,1.95
Belarus,Wine,2006,0.59
Belarus,Spirits,2006,5.25
Belarus,Other alcoholic beverages,2006,4.82
Belgium,All types,2006,10.94
Belgium,Beer,2006,5.6
Belgium,Wine,2006,4.37
Belgium,Spirits,2006,0.99
Belgium,Other alcoholic beverages,2006,0.01
Bosnia and Herzegovina,All types,2006,4.72
Bosnia and Herzegovina,Beer,2006,3.6
Bosnia and Herzegovina,Wine,2006,0.38
Bosnia and Herzegovina,Spirits,2006,0.59
Bosnia and Herzegovina,Other alcoholic beverages,2006,0.15
Bulgaria,All types,2006,10.18
Bulgaria,Beer,2006,3.96
Bulgaria,Wine,2006,1.37
Bulgaria,Spirits,2006,4.8
Bulgaria,Other alcoholic beverages,2006,0.05
Croatia,All types,2006,10.98
Croatia,Beer,2006,4.98
Croatia,Wine,2006,4.37
Croatia,Spirits,2006,1.27
Croatia,Other alcoholic beverages,2006,0.36
Czechia,All types,2006,13.58
Czechia,Beer,2006,7.43
Czechia,Wine,2006,2.41
Czechia,Spirits,2006,3.74
Czechia,Other alcoholic beverages,2006,0.0
Denmark,All types,2006,11.02
Denmark,Beer,2006,4.92
Denmark,Wine,2006,4.34
Denmark,Spirits,2006,1.69
Denmark,Other alcoholic beverages,2006,0.07
Estonia,All types,2006,17.87
Estonia,Beer,2006,6.5
Estonia,Wine,2006,1.44
Estonia,Spirits,2006,7.87
Estonia,Other alcoholic beverages,2006,2.06
Finland,All types,2006,10.15
Finland,Beer,2006,4.57
Finland,Wine,2006,1.55
Finland,Spirits,2006,2.86
Finland,Other alcoholic beverages,2006,1.17
France,All types,2006,13.05
France,Beer,2006,2.4
France,Wine,2006,7.75
France,Spirits,2006,2.7
France,Other alcoholic beverages,2006,0.2
Germany,All types,2006,11.76
Germany,Beer,2006,6.73
Germany,Wine,2006,3.13
Germany,Spirits,2006,2.28
Germany,Other alcoholic beverages,2006,0.0
Greece,All types,2006,8.68
Greece,Beer,2006,2.23
Greece,Wine,2006,4.06
Greece,Spirits,2006,2.23
Greece,Other alcoholic beverages,2006,0.16
Hungary,All types,2006,13.25
Hungary,Beer,2006,4.39
Hungary,Wine,2006,4.54
Hungary,Spirits,2006,4.32
Hungary,Other alcoholic beverages,2006,0.0
Iceland,All types,2006,7.2
Iceland,Beer,2006,3.78
Iceland,Wine,2006,1.97
Iceland,Spirits,2006,1.45
Iceland,Other alcoholic beverages,2006,0.0
Ireland,All types,2006,13.12
Ireland,Beer,2006,6.7
Ireland,Wine,2006,2.7
Ireland,Spirits,2006,2.52
Ireland,Other alcoholic beverages,2006,1.19
Italy,All types,2006,8.44
Italy,Beer,2006,1.76
Italy,Wine,2006,5.7
Italy,Spirits,2006,0.98
Italy,Other alcoholic beverages,2006,0.0
