LOCATION,BEVERAGE TYPES,TIME,VALUE
Austria,Wine,1989,4.9
Austria,Spirits,1989,1.9
Austria,Alltypes,1990,13.9
Austria,Beer,1990,7.3
Austria,Wine,1990,4.8
Austria,Spirits,1990,1.8
Austria,Alltypes,1991,14.1
Austria,Beer,1991,7.3
Austria,Wine,1991,4.7
Austria,Spirits,1991,2.1
Austria,Alltypes,1992,13.6
Austria,Beer,1992,7.5
Austria,Wine,1992,4.6
Austria,Spirits,1992,1.5
Austria,Alltypes,1993,13.5
Austria,Beer,1993,7.2
Austria,Wine,1993,4.5
Austria,Spirits,1993,1.8
Austria,Alltypes,1994,12.5
Austria,Beer,1994,6.9
Austria,Wine,1994,4.3
Austria,Spirits,1994,1.3
Austria,Alltypes,1995,13.4
Austria,Beer,1995,6.9
Austria,Wine,1995,4.5
Austria,Spirits,1995,2.0
Austria,Alltypes,1996,13.5
Austria,Beer,1996,6.8
Austria,Wine,1996,4.4
Austria,Spirits,1996,2.3
Austria,Alltypes,1997,12.9
Austria,Beer,1997,6.7
Austria,Wine,1997,4.2
Austria,Spirits,1997,2.0
Austria,Alltypes,1998,12.9
Austria,Beer,1998,6.8
Austria,Wine,1998,4.3
Austria,Spirits,1998,1.8
Austria,Alltypes,1999,12.8
Austria,Beer,1999,6.8
Austria,Wine,1999,4.2
Austria,Spirits,1999,1.8
Austria,Alltypes,2000,13.35
Austria,Beer,2000,6.85
Austria,Wine,2000,4.33
Austria,Spirits,2000,2.16
Austria,Otheralcoholicbeverages,2000,0.0
Austria,Alltypes,2001,12.35
Austria,Beer,2001,6.59
Austria,Wine,2001,4.2
Austria,Spirits,2001,1.56
Austria,Otheralcoholicbeverages,2001,0.0
Austria,Alltypes,2002,12.09
Austria,Beer,2002,6.58
Austria,Wine,2002,3.95
Austria,Spirits,2002,1.56
Austria,Otheralcoholicbeverages,2002,0.0
Austria,Alltypes,2003,12.31
Austria,Beer,2003,6.69
Austria,Wine,2003,4.06
Austria,Spirits,2003,1.55
Austria,Otheralcoholicbeverages,2003,0.0
Austria,Alltypes,2004,12.17
Austria,Beer,2004,6.68
Austria,Wine,2004,3.82
Austria,Spirits,2004,1.67
Austria,Otheralcoholicbeverages,2004,0.0
Austria,Alltypes,2005,12.14
Austria,Beer,2005,6.43
Austria,Wine,2005,4.05
Austria,Spirits,2005,1.67
Austria,Otheralcoholicbeverages,2005,0.0
Austria,Alltypes,2006,12.58
Austria,Beer,2006,6.41
Austria,Wine,2006,4.39
Austria,Spirits,2006,1.78
Austria,Otheralcoholicbeverages,2006,0.0
Austria,Alltypes,2007,12.54
Austria,Beer,2007,6.39
Austria,Wine,2007,4.38
Austria,Spirits,2007,1.78
Austria,Otheralcoholicbeverages,2007,0.0
Austria,Alltypes,2008,12.03
Austria,Beer,2008,6.37
Austria,Wine,2008,3.89
Austria,Spirits,2008,1.77
Austria,Otheralcoholicbeverages,2008,0.0
Austria,Alltypes,2009,11.87
Austria,Beer,2009,6.11
Austria,Wine,2009,4.0
Austria,Spirits,2009,1.76
Austria,Otheralcoholicbeverages,2009,0.0
Austria,Alltypes,2010,12.1
Austria,Beer,2010,6.1
Austria,Wine,2010,4.3
Austria,Spirits,2010,1.7
Austria,Otheralcoholicbeverages,2010,0.0
Austria,Alltypes,2011,11.9
Austria,Beer,2011,6.1
Austria,Wine,2011,4.1
Austria,Spirits,2011,1.7
Austria,Otheralcoholicbeverages,2011,0.0
Austria,Alltypes,2012,12.1
Austria,Beer,2012,6.3
Austria,Wine,2012,4.1
Austria,Spirits,2012,1.7
Austria,Otheralcoholicbeverages,2012,0.0
Austria,Alltypes,2013,12.1
Austria,Beer,2013,6.1
Austria,Wine,2013,3.9
Austria,Spirits,2013,2.1
Austria,Otheralcoholicbeverages,2013,0.0
Austria,Alltypes,2014,12.4
Austria,Beer,2014,6.2
Austria,Wine,2014,4.2
Austria,Spirits,2014,2.0
Austria,Otheralcoholicbeverages,2014,0.0
Austria,Alltypes,2015,11.6
Austria,Beer,2015,6.1
Austria,Wine,2015,3.6
Austria,Spirits,2015,1.9
Austria,Otheralcoholicbeverages,2015,0.0
Austria,Alltypes,2016,11.7
Austria,Beer,2016,6.1
Austria,Wine,2016,3.7
Austria,Spirits,2016,1.9
Austria,Otheralcoholicbeverages,2016,0.0
Austria,Alltypes,2017,11.6
Austria,Beer,2017,6.1
Austria,Wine,2017,3.6
Austria,Spirits,2017,1.9
Austria,Otheralcoholicbeverages,2017,0.0
Austria,Alltypes,2018,11.6
Austria,Beer,2018,6.1
Austria,Wine,2018,3.6
Austria,Spirits,2018,1.9
Austria,Otheralcoholicbeverages,2018,0.0
Austria,Alltypes,2019,11.9
Austria,Beer,2019,6.3
Austria,Wine,2019,3.7
Austria,Spirits,2019,1.9
Austria,Otheralcoholicbeverages,2019,0.0
Austria,Alltypes,2020,11.3
Austria,Alltypes,2021,11.1
Belarus,Alltypes,1980,13.23
Belarus,Beer,1980,
Belarus,Wine,1980,
Belarus,Spirits,1980,
Belarus,Otheralcoholicbeverages,1980,
Belarus,Alltypes,1981,13.2
Belarus,Beer,1981,
Belarus,Wine,1981,
Belarus,Spirits,1981,
Belarus,Otheralcoholicbeverages,1981,
Belarus,Alltypes,1982,12.67
Belarus,Beer,1982,
Belarus,Wine,1982,
Belarus,Spirits,1982,
Belarus,Otheralcoholicbeverages,1982,
Belarus,Alltypes,1983,12.43
Belarus,Beer,1983,
Belarus,Wine,1983,
Belarus,Spirits,1983,
Belarus,Otheralcoholicbeverages,1983,
Belarus,Alltypes,1984,12.7
Belarus,Beer,1984,
Belarus,Wine,1984,
Belarus,Spirits,1984,
Belarus,Otheralcoholicbeverages,1984,
Belarus,Alltypes,1985,11.41
Belarus,Beer,1985,
Belarus,Wine,1985,
Belarus,Spirits,1985,
Belarus,Otheralcoholicbeverages,1985,
Belarus,Alltypes,1986,7.57
Belarus,Beer,1986,
Belarus,Wine,1986,
Belarus,Spirits,1986,
Belarus,Otheralcoholicbeverages,1986,
Belarus,Alltypes,1987,5.71
Belarus,Beer,1987,
Belarus,Wine,1987,
Belarus,Spirits,1987,
Belarus,Otheralcoholicbeverages,1987,
Belarus,Alltypes,1988,4.55
Belarus,Beer,1988,1.65
Belarus,Wine,1988,0.0
Belarus,Spirits,1988,2.9
Belarus,Otheralcoholicbeverages,1988,0.0
Belarus,Alltypes,1989,7.98
Belarus,Beer,1989,1.83
Belarus,Wine,1989,1.34
Belarus,Spirits,1989,4.81
Belarus,Otheralcoholicbeverages,1989,0.0
Belarus,Alltypes,1990,7.85
Belarus,Beer,1990,1.87
Belarus,Wine,1990,1.28
Belarus,Spirits,1990,4.7
Belarus,Otheralcoholicbeverages,1990,0.0
Belarus,Alltypes,1991,8.87
Belarus,Beer,1991,1.92
Belarus,Wine,1991,1.25
Belarus,Spirits,1991,5.69
Belarus,Otheralcoholicbeverages,1991,0.0
Belarus,Alltypes,1992,8.7
Belarus,Beer,1992,1.58
Belarus,Wine,1992,0.24
Belarus,Spirits,1992,6.54
Belarus,Otheralcoholicbeverages,1992,0.35
Belarus,Alltypes,1993,10.23
Belarus,Beer,1993,1.24
Belarus,Wine,1993,0.48
Belarus,Spirits,1993,7.87
Belarus,Otheralcoholicbeverages,1993,0.64
Belarus,Alltypes,1994,9.86
Belarus,Beer,1994,0.88
Belarus,Wine,1994,0.66
Belarus,Spirits,1994,7.55
Belarus,Otheralcoholicbeverages,1994,0.77
Belarus,Alltypes,1995,9.35
Belarus,Beer,1995,0.79
Belarus,Wine,1995,0.41
Belarus,Spirits,1995,7.43
Belarus,Otheralcoholicbeverages,1995,0.71
Belarus,Alltypes,1996,10.45
Belarus,Beer,1996,0.98
Belarus,Wine,1996,0.28
Belarus,Spirits,1996,8.16
Belarus,Otheralcoholicbeverages,1996,1.03
Belarus,Alltypes,1997,11.02
Belarus,Beer,1997,1.14
Belarus,Wine,1997,0.37
Belarus,Spirits,1997,7.97
Belarus,Otheralcoholicbeverages,1997,1.54
Belarus,Alltypes,1998,11.72
Belarus,Beer,1998,1.19
Belarus,Wine,1998,0.72
Belarus,Spirits,1998,7.57
Belarus,Otheralcoholicbeverages,1998,2.25
Belarus,Alltypes,1999,12.72
Belarus,Beer,1999,1.22
Belarus,Wine,1999,0.83
Belarus,Spirits,1999,7.85
Belarus,Otheralcoholicbeverages,1999,2.83
Belarus,Alltypes,2000,12.92
Belarus,Beer,2000,1.19
Belarus,Wine,2000,0.17
Belarus,Spirits,2000,5.03
Belarus,Otheralcoholicbeverages,2000,6.54
Belarus,Alltypes,2001,10.74
Belarus,Beer,2001,1.15
Belarus,Wine,2001,0.37
Belarus,Spirits,2001,4.75
Belarus,Otheralcoholicbeverages,2001,4.47
Belarus,Alltypes,2002,11.78
Belarus,Beer,2002,2.73
Belarus,Wine,2002,0.41
Belarus,Spirits,2002,4.75
Belarus,Otheralcoholicbeverages,2002,3.89
Belarus,Alltypes,2003,11.17
Belarus,Beer,2003,3.2
Belarus,Wine,2003,0.49
Belarus,Spirits,2003,3.8
Belarus,Otheralcoholicbeverages,2003,3.68
Belarus,Alltypes,2004,12.08
Belarus,Beer,2004,1.33
Belarus,Wine,2004,0.22
Belarus,Spirits,2004,3.64
Belarus,Otheralcoholicbeverages,2004,6.89
Belarus,Alltypes,2005,11.19
Belarus,Beer,2005,1.56
Belarus,Wine,2005,0.56
Belarus,Spirits,2005,4.16
Belarus,Otheralcoholicbeverages,2005,4.91
Belarus,Alltypes,2006,12.61
Belarus,Beer,2006,1.95
Belarus,Wine,2006,0.59
Belarus,Spirits,2006,5.25
Belarus,Otheralcoholicbeverages,2006,4.82
Belarus,Alltypes,2007,13.91
Belarus,Beer,2007,2.29
Belarus,Wine,2007,0.62
Belarus,Spirits,2007,6.0
Belarus,Otheralcoholicbeverages,2007,5.0
Belarus,Alltypes,2008,14.58
Belarus,Beer,2008,2.46
Belarus,Wine,2008,0.65
Belarus,Spirits,2008,6.32
Belarus,Otheralcoholicbeverages,2008,5.15
Belarus,Alltypes,2009,13.98
Belarus,Beer,2009,2.33
Belarus,Wine,2009,0.61
Belarus,Spirits,2009,6.12
Belarus,Otheralcoholicbeverages,2009,4.92
Belarus,Alltypes,2010,14.43
Belarus,Beer,2010,2.37
Belarus,Wine,2010,0.75
Belarus,Spirits,2010,5.94
Belarus,Otheralcoholicbeverages,2010,5.36
Belarus,Alltypes,2011,14.5
Belarus,Beer,2011,2.3
Belarus,Wine,2011,0.73
Belarus,Spirits,2011,6.43
Belarus,Otheralcoholicbeverages,2011,5.04
Belarus,Alltypes,2012,13.56
Belarus,Beer,2012,2.19
Belarus,Wine,2012,0.76
Belarus,Spirits,2012,6.58
Belarus,Otheralcoholicbeverages,2012,4.03
Belarus,Alltypes,2013,12.58
Belarus,Beer,2013,2.36
Belarus,Wine,2013,0.84
Belarus,Spirits,2013,5.4
Belarus,Otheralcoholicbeverages,2013,3.97
Belarus,Alltypes,2014,11.29
Belarus,Beer,2014,2.16
Belarus,Wine,2014,0.84
