"Countries, territories and areas",Beverage Types,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980
France,Beer,2.39,2.38,2.29,2.45,2.43,2.45,2.44,2.56,2.53,2.6,2.56,2.47,2.45,2.55,2.54,2.62,2.78,2.79,2.82,2.85
France,Wine,7.8,7.89,8.02,8.18,8.61,8.56,8.71,8.87,9.21,10.01,10.24,10.28,10.42,10.62,11.1,11.45,11.91,12.37,12.55,12.88
France,Spirits,2.71,2.75,2.75,2.87,2.82,2.84,2.83,3.09,2.85,2.86,2.98,2.85,2.77,2.71,2.7,2.58,2.77,2.83,2.71,2.97
France,Other alcoholic beverages,0.25,0.25,0.25,0.27,0.26,0.26,0.26,0.2,0.26,0.26,0.27,0.26,0.26,0.25,0.25,0.24,0.26,0.26,0.25,0.27
Germany,All types,12.94,12.74,13.0,13.12,13.35,13.37,13.5,13.84,13.92,14.89,14.64,14.61,14.82,14.72,15.14,15.14,15.75,15.69,16.01,16.45
Germany,Beer,7.57,7.02,7.24,7.29,7.52,7.61,7.48,8.22,8.09,8.51,8.47,8.45,8.52,8.68,8.66,8.67,8.97,9.0,8.98,8.95
Germany,Wine,3.0,3.05,3.09,3.06,3.01,2.93,3.07,3.03,3.0,3.73,3.74,3.67,3.66,3.32,3.66,3.7,3.84,3.62,3.62,3.75
Germany,Spirits,2.37,2.67,2.67,2.77,2.82,2.83,2.95,2.59,2.83,2.66,2.43,2.49,2.65,2.72,2.82,2.78,2.95,3.08,3.41,3.74
Germany,Other alcoholic beverages,0.0,,,,,,,,,,,,,,,,,,,
Greece,All types,9.47,9.03,9.5,9.67,10.09,10.43,10.67,9.99,10.18,10.33,10.15,10.1,9.82,8.92,10.88,11.59,11.78,11.01,12.04,13.21
Greece,Beer,2.54,2.49,2.32,2.33,2.4,2.54,2.55,2.45,2.46,2.48,2.4,2.45,2.26,2.2,2.11,1.99,1.86,1.9,1.92,1.7
Greece,Wine,4.57,4.17,4.56,4.47,4.56,4.5,4.71,4.24,4.39,4.49,4.12,4.13,4.41,3.3,5.21,6.16,6.21,4.99,6.38,6.4
Greece,Spirits,2.31,2.32,2.57,2.81,3.07,3.32,3.34,3.23,3.26,3.29,3.56,3.45,3.09,3.35,3.49,3.37,3.64,4.04,3.66,5.01
Greece,Other alcoholic beverages,0.05,0.05,0.05,0.06,0.06,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.07,0.07,0.07,0.07,0.08,0.08,0.1
Hungary,All types,12.09,12.69,12.51,12.55,12.56,13.71,14.16,14.82,15.43,16.15,16.29,15.34,15.7,16.67,16.74,16.82,16.39,16.82,16.73,16.88
Hungary,Beer,4.1,4.13,4.16,4.29,4.56,5.15,5.08,5.81,6.26,6.59,6.55,6.5,6.42,6.37,5.92,5.59,5.69,5.76,5.73,5.51
Hungary,Wine,4.37,4.81,4.59,4.37,3.85,4.27,4.63,4.42,4.31,4.17,3.44,3.15,3.32,3.57,3.81,4.72,4.56,4.91,4.59,5.35
Hungary,Spirits,3.62,3.75,3.76,3.89,4.15,4.29,4.44,4.59,4.86,5.39,6.3,5.69,5.96,6.73,7.01,6.51,6.14,6.15,6.41,6.02
Iceland,All types,5.9,5.56,5.1,4.9,4.76,4.61,4.45,4.73,5.14,5.24,5.35,5.47,5.64,5.47,5.34,5.37,5.11,4.92,5.05,4.97
Iceland,Beer,2.89,2.64,2.41,2.2,2.02,1.81,1.49,1.45,1.58,1.73,1.83,1.07,1.08,1.07,1.16,1.17,1.11,1.02,1.06,0.99
Iceland,Wine,1.25,1.18,0.97,0.91,0.81,0.78,0.76,0.79,0.8,0.76,0.67,0.9,1.01,1.03,1.09,1.19,1.14,1.02,0.94,0.9
Iceland,Spirits,1.76,1.74,1.72,1.79,1.93,2.02,2.2,2.49,2.76,2.75,2.85,3.5,3.55,3.37,3.09,3.01,2.86,2.88,3.05,3.08
Iceland,Other alcoholic beverages,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01
Ireland,All types,14.95,14.44,14.18,13.66,12.86,12.67,12.34,12.51,12.2,12.13,11.79,11.39,10.99,11.23,11.62,11.07,10.87,11.9,12.51,13.19
Ireland,Beer,9.94,9.93,9.96,9.53,9.16,9.02,8.52,8.9,8.47,8.41,8.07,7.67,7.49,7.56,7.72,7.74,7.73,8.27,8.38,8.78
