"Countries, territories and areas",Beverage Types, 1979, 1978, 1977, 1976, 1975, 1974, 1973, 1972, 1971, 1970, 1969, 1968, 1967, 1966, 1965, 1964, 1963, 1962, 1961, 1960
Iceland, Wine,0.85,0.66,0.62,0.55,0.47,0.41,0.37,0.34,0.31,0.29,0.26,0.26,0.27,0.25,0.23,0.22,0.2,0.19,0.17,
Iceland, Spirits,3.26,3.14,3.46,3.28,3.43,3.82,3.67,3.63,3.54,3.3,2.86,2.79,3.21,3.17,2.8,2.68,2.65,2.53,2.25,
Iceland, Other alcoholic beverages,0.01,0.01,0.01,0.01,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Ireland, All types,13.83,13.86,13.56,13.55,13.84,13.67,13.11,12.0,11.13,10.58,9.17,8.77,8.02,7.87,7.7,7.67,7.39,,,
Ireland, Beer,8.88,8.8,8.7,8.94,9.35,9.44,9.15,8.34,7.84,7.3,6.79,6.56,6.0,5.95,5.74,5.82,5.6,,,
Ireland, Wine,0.82,0.83,0.87,0.85,0.73,0.68,0.61,0.56,0.56,0.57,0.51,0.49,0.47,0.45,0.42,0.4,0.38,,,
Ireland, Spirits,3.24,3.31,3.13,2.95,2.95,2.77,2.63,2.44,2.14,2.12,1.87,1.72,1.54,1.47,1.54,1.45,1.41,,,
Ireland, Other alcoholic beverages,0.89,0.91,0.86,0.81,0.81,0.77,0.73,0.67,0.59,0.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
Italy, All types,16.49,16.53,16.99,17.6,18.32,19.65,19.89,19.49,19.56,19.72,19.73,19.71,19.01,18.73,18.42,17.75,18.18,19.44,19.24,
Italy, Beer,1.09,0.97,0.91,0.93,0.84,0.98,1.04,0.8,0.73,0.75,0.73,0.71,0.69,0.65,0.57,0.55,0.54,0.49,0.4,
Italy, Wine,12.81,13.03,13.46,14.18,15.1,15.89,15.93,16.18,16.44,16.58,16.75,16.89,16.2,16.1,16.0,15.09,15.66,17.23,17.24,
Italy, Spirits,2.59,2.47,2.62,2.5,2.38,2.78,2.92,2.52,2.39,2.39,2.25,2.12,2.12,1.98,1.85,2.11,1.98,1.72,1.59,
Luxembourg, All types,18.03,18.08,18.59,19.03,18.98,18.54,19.07,18.73,18.99,18.65,18.56,18.26,18.28,18.46,18.69,18.84,18.74,18.33,18.54,
Luxembourg, Beer,5.93,5.98,6.15,6.35,6.18,6.18,6.22,6.05,6.08,5.95,5.85,5.5,5.47,5.43,5.25,5.31,4.86,4.34,4.5,
Luxembourg, Wine,8.39,8.64,9.07,9.08,9.27,9.08,9.34,9.3,9.31,9.22,9.46,9.65,9.69,9.82,10.0,10.34,10.65,10.93,11.21,
Luxembourg, Spirits,3.71,3.45,3.37,3.61,3.53,3.27,3.51,3.38,3.6,3.48,3.26,3.1,3.11,3.21,3.44,3.19,3.22,3.06,2.83,
Norway, All types,5.83,5.41,5.93,5.84,5.87,5.74,5.4,5.3,5.07,4.84,4.58,4.39,4.15,3.96,3.84,3.7,3.74,3.64,3.74,
Norway, Beer,2.96,2.98,2.96,2.92,2.98,2.89,2.77,2.72,2.59,2.44,2.3,2.15,1.99,1.91,1.85,1.77,1.78,1.67,1.75,
Norway, Wine,0.53,0.41,0.49,0.47,0.48,0.46,0.44,0.39,0.38,0.33,0.32,0.29,0.28,0.25,0.22,0.21,0.21,0.21,0.21,
Norway, Spirits,2.34,2.02,2.48,2.45,2.41,2.39,2.19,2.19,2.1,2.07,1.96,1.95,1.88,1.8,1.77,1.72,1.79,1.76,1.78,
Poland, All types,10.62,10.99,10.47,9.45,8.62,9.01,8.67,8.7,8.03,7.62,7.64,7.41,6.94,6.57,6.29,6.16,6.22,6.06,6.27,
Poland, Beer,2.02,2.18,2.25,2.39,2.42,2.54,2.41,2.43,2.28,2.16,2.1,2.02,1.96,1.84,1.74,1.75,1.74,1.6,1.76,
Poland, Wine,1.43,1.4,1.31,1.16,1.04,1.01,1.03,1.03,1.01,0.94,0.85,0.77,0.73,0.71,0.77,0.79,0.77,0.88,0.92,
Poland, Spirits,7.17,7.42,6.91,5.91,5.16,5.46,5.23,5.23,4.74,4.52,4.69,4.61,4.25,4.02,3.78,3.52,3.7,3.58,3.59,
Portugal, All types,14.19,14.02,13.74,16.87,19.55,18.34,19.06,16.18,15.95,19.89,13.99,18.32,17.03,16.9,19.53,19.37,18.49,15.17,15.02,
Portugal, Beer,2.56,2.65,2.71,2.2,2.11,2.35,2.33,1.96,1.19,0.99,0.97,0.73,0.65,0.61,0.5,0.39,0.39,0.27,0.3,
Portugal, Wine,11.15,10.82,10.52,14.26,16.9,15.47,16.27,13.66,14.17,18.37,12.72,17.35,16.09,16.01,18.74,18.63,17.81,14.5,14.12,
Portugal, Spirits,0.49,0.55,0.5,0.41,0.54,0.52,0.45,0.56,0.59,0.52,0.29,0.23,0.29,0.29,0.29,0.34,0.29,0.4,0.6,
Portugal, Other alcoholic beverages,0.77,0.74,0.99,1.16,1.08,1.16,0.99,1.02,1.33,0.92,1.25,1.16,1.16,1.35,1.34,1.28,1.4,0.0,0.0,
Romania, All types,11.41,10.47,9.61,9.44,9.68,10.34,10.21,8.97,8.82,8.55,8.0,7.66,7.12,7.27,7.18,7.03,7.01,6.92,5.7,
Romania, Beer,2.96,2.55,2.33,2.33,2.28,2.06,1.81,1.63,1.63,1.45,1.26,1.21,1.16,1.08,0.98,0.91,0.87,0.84,0.77,
Romania, Wine,5.32,4.94,4.45,4.43,4.86,5.27,5.32,4.35,4.39,4.49,4.37,4.33,3.96,4.37,4.44,4.42,4.49,4.49,3.71,
Romania, Spirits,3.13,2.98,2.83,2.68,2.54,3.01,3.08,2.99,2.8,2.6,2.38,2.12,2.0,1.82,1.76,1.7,1.65,1.59,1.22,
