LOCATION,BEVERAGE TYPES,TIME,VALUE
Albania, All types, 1973,1.59
Albania, Beer, 1973,0.53
Albania, Wine, 1973,0.34
Albania, Spirits, 1973,0.72
Austria, All types, 1973,14.6
Austria, Beer, 1973,7.0
Austria, Wine, 1973,5.5
Austria, Spirits, 1973,2.1
Belgium, All types, 1973,13.81
Belgium, Beer, 1973,9.25
Belgium, Wine, 1973,2.25
Belgium, Spirits, 1973,2.31
Bulgaria, All types, 1973,10.14
Bulgaria, Beer, 1973,2.87
Bulgaria, Wine, 1973,3.88
Bulgaria, Spirits, 1973,3.39
Czechia, All types, 1973,12.95
Czechia, Beer, 1973,7.54
Czechia, Wine, 1973,2.04
Czechia, Spirits, 1973,3.37
Denmark, All types, 1973,10.89
Denmark, Beer, 1973,7.37
Denmark, Wine, 1973,1.53
Denmark, Spirits, 1973,1.99
Finland, All types, 1973,7.38
Finland, Beer, 1973,3.09
Finland, Wine, 1973,0.92
Finland, Spirits, 1973,1.56
Finland, Other alcoholic beverages, 1973,1.81
France, All types, 1973,21.4
France, Beer, 1973,2.94
France, Wine, 1973,15.34
France, Spirits, 1973,3.12
Germany, All types, 1973,16.74
Germany, Beer, 1973,9.49
Germany, Wine, 1973,3.34
Germany, Spirits, 1973,3.91
Greece, All types, 1973,10.67
Greece, Beer, 1973,2.55
Greece, Wine, 1973,4.71
Greece, Spirits, 1973,3.41
Hungary, All types, 1973,12.82
Hungary, Beer, 1973,3.86
Hungary, Wine, 1973,5.31
Hungary, Spirits, 1973,3.65
Iceland, All types, 1973,5.19
Iceland, Beer, 1973,1.15
Iceland, Wine, 1973,0.37
Iceland, Spirits, 1973,3.67
Iceland, Other alcoholic beverages, 1973,0.01
Ireland, All types, 1973,13.11
Ireland, Beer, 1973,9.15
Ireland, Wine, 1973,0.61
Ireland, Spirits, 1973,2.63
Ireland, Other alcoholic beverages, 1973,0.73
Italy, All types, 1973,19.89
Italy, Beer, 1973,1.04
Italy, Wine, 1973,15.93
Italy, Spirits, 1973,2.92
Luxembourg, All types, 1973,19.07
Luxembourg, Beer, 1973,6.22
Luxembourg, Wine, 1973,9.34
Luxembourg, Spirits, 1973,3.51
Norway, All types, 1973,5.4
Norway, Beer, 1973,2.77
Norway, Wine, 1973,0.44
Norway, Spirits, 1973,2.19
Poland, All types, 1973,8.67
Poland, Beer, 1973,2.41
Poland, Wine, 1973,1.03
Poland, Spirits, 1973,5.23
Portugal, All types, 1973,19.06
Portugal, Beer, 1973,2.33
Portugal, Wine, 1973,16.27
Portugal, Spirits, 1973,0.45
Portugal, Other alcoholic beverages, 1973,0.99
Romania, All types, 1973,10.21
Romania, Beer, 1973,1.81
Romania, Wine, 1973,5.32
Romania, Spirits, 1973,3.08
Slovakia, All types, 1973,13.68
Slovakia, Beer, 1973,7.89
Slovakia, Wine, 1973,2.39
Slovakia, Spirits, 1973,3.4
Spain, All types, 1973,17.98
Spain, Beer, 1973,2.95
Spain, Wine, 1973,11.43
Spain, Spirits, 1973,3.6
Sweden, All types, 1973,7.94
Sweden, Beer, 1973,3.57
Sweden, Wine, 1973,1.01
Sweden, Spirits, 1973,3.36
