,Year,Country,Alcohol Consumption,Happiness,Social Support,Freedom To Make Life Choices,Generosity,Rank
113,2018,Germany,10.88,7.118364334,0.919763148,0.8768875,0.029869491,10
114,2019,Germany,10.56,7.035472393,0.885667324,0.884751558,0.052630946,12
115,2012,Greece,7.62,5.096354008,0.81214112,0.37261042,-0.307540685,30
116,2013,Greece,7.55,4.720251083,0.686650038,0.425966531,-0.27519241,31
117,2014,Greece,7.06,4.75623703,0.832333207,0.369156331,-0.290902495,33
118,2015,Greece,6.68,5.622519016,0.834824681,0.531736314,-0.275128067,27
119,2016,Greece,6.68,5.302619457,0.802605867,0.481616855,-0.263096809,31
120,2017,Greece,6.67,5.14824152,0.752899528,0.438300014,-0.292710543,32
121,2018,Greece,6.45,5.40928936,0.793500781,0.564455688,-0.33752656,30
122,2019,Greece,6.33,5.952157497,0.890809536,0.613584101,-0.291155934,27
123,2012,Hungary,11.13,4.683358192,0.906113982,0.56923151,-0.139944121,34
124,2013,Hungary,10.73,4.914466858,0.877318323,0.673728287,-0.116701461,30
125,2014,Hungary,10.92,5.18056345,0.844735265,0.494474709,-0.153600752,30
126,2015,Hungary,10.95,5.34438324,0.858733833,0.557721376,-0.201611146,28
127,2016,Hungary,11.28,5.448901653,0.899511576,0.55395174,-0.190678656,26
128,2017,Hungary,10.79,6.065038681,0.876747549,0.661165953,-0.14313136,23
129,2018,Hungary,10.79,5.935770988,0.940591395,0.692627072,-0.246664539,23
130,2019,Hungary,10.79,6.000259876,0.94651556,0.798041046,-0.198927522,25
131,2020,Hungary,10.4,6.038049698,0.943400383,0.77096808,-0.125335947,25
132,2021,Hungary,10.4,6.226647854,0.947892129,0.727489948,-0.044104263,24
133,2012,Iceland,6.82,7.590660095,0.978965282,0.904654503,0.236324042,3
134,2013,Iceland,6.8,7.501394272,0.967144907,0.9232077,0.300540924,2
135,2015,Iceland,7.66,7.498070717,0.980283201,0.94048512,0.295826077,4
136,2016,Iceland,7.49,7.510034561,0.984940052,0.951609552,0.276071131,5
137,2017,Iceland,7.75,7.476213932,0.966752827,0.938783288,0.241254017,4
138,2019,Iceland,7.72,7.532504559,0.981824577,0.959470093,,4
139,2020,Iceland,7.4,7.575489521,0.983286083,0.948627174,0.153187588,2
140,2012,Ireland,11.38,6.964645386,0.961785913,0.90219456,0.297067612,9
141,2013,Ireland,10.51,6.760085106,0.955188334,0.883772016,0.326395363,11
142,2014,Ireland,10.88,7.018379211,0.967744648,0.921629548,0.258487821,7
143,2015,Ireland,10.81,6.830125332,0.95294255,0.892276943,0.227723688,11
144,2016,Ireland,11.3,7.04073143,0.958144009,0.874589145,0.170545131,9
145,2017,Ireland,11.13,7.060155392,0.943481982,0.905341148,0.212120265,12
146,2018,Ireland,11.15,6.962335587,0.937862396,0.861471593,0.139545679,12
147,2019,Ireland,10.91,7.254841328,0.943726361,0.892458677,0.068902165,9
148,2020,Ireland,10.1,7.034930706,0.960311055,0.882098258,0.002064911,10
149,2021,Ireland,9.5,6.827651978,0.849838138,0.846344113,0.132696584,13
150,2012,Italy,7.48,5.839313984,0.86948663,0.570094943,0.109010942,22
151,2013,Italy,7.35,6.009373665,0.916296065,0.499168754,-0.106092438,15
152,2014,Italy,7.56,6.026585102,0.89789933,0.623531222,-0.068665512,18
153,2015,Italy,7.14,5.847683907,0.908986509,0.574765742,-0.068002611,21
154,2016,Italy,7.1,5.95452404,0.927212834,0.623741627,-0.084348761,20
155,2017,Italy,7.37,6.198870182,0.919791222,0.632843256,-0.038876455,20
