Country Name,Year,Life Expectancy
Belgium,1964,70.7551219512195
Bulgaria,1964,71.1212195121951
Bosnia and Herzegovina,1964,63.948
Belarus,1964,70.619243902439
Switzerland,1964,72.0778048780488
Czechia,1964,70.459512195122
Germany,1964,70.4355609756098
Denmark,1964,72.4851219512195
Spain,1964,70.399756097561
Estonia,1964,70.0573170731707
Finland,1964,69.2209756097561
France,1964,70.6634146341463
United Kingdom,1964,71.6243902439024
Greece,1964,70.5693902439025
Croatia,1964,67.2923170731707
Hungary,1964,69.3809756097561
Ireland,1964,70.4899268292683
Iceland,1964,73.5417073170732
Israel,1964,
Italy,1964,70.3117073170732
Lithuania,1964,71.5090243902439
Luxembourg,1964,69.3916829268293
Latvia,1964,71.0280487804878
Moldova,1964,62.81
North Macedonia,1964,58.9859268292683
Montenegro,1964,67.1505365853659
Netherlands,1964,73.7041463414634
Norway,1964,73.5958536585366
Poland,1964,68.6292682926829
Portugal,1964,64.9833902439024
Romania,1964,67.8451219512195
Slovenia,1964,68.6634146341463
Sweden,1964,73.7331707317073
Ukraine,1964,70.205512195122
Albania,1965,60.019
Andorra,1965,
Austria,1965,69.7221951219512
Belgium,1965,70.6253658536586
Bulgaria,1965,71.2939024390244
Bosnia and Herzegovina,1965,64.555
Belarus,1965,70.5974878048781
Switzerland,1965,72.2017073170732
Czechia,1965,70.1631707317073
Germany,1965,70.4103658536585
Denmark,1965,72.3707317073171
Spain,1965,70.8092682926829
Estonia,1965,69.6807317073171
Finland,1965,68.9778048780488
France,1965,70.8121951219512
United Kingdom,1965,71.6243902439024
Greece,1965,71.4283170731707
Croatia,1965,67.8325609756098
Hungary,1965,69.0712195121951
Ireland,1965,70.695
Iceland,1965,73.8687804878049
Israel,1965,
Italy,1965,70.1717073170732
Lithuania,1965,71.3251219512195
Luxembourg,1965,69.0254146341464
Latvia,1965,70.7265853658537
Moldova,1965,63.152
North Macedonia,1965,60.0019268292683
Montenegro,1965,67.9873658536585
Netherlands,1965,73.5687804878049
Norway,1965,73.7231707317073
Poland,1965,69.4292682926829
Portugal,1965,65.9604634146341
Romania,1965,67.7072682926829
Slovenia,1965,68.3658536585366
Sweden,1965,73.8617073170732
Ukraine,1965,69.8683902439025
Albania,1966,60.998
Andorra,1966,
Austria,1966,70.0458536585366
Belgium,1966,70.7063414634146
Bulgaria,1966,71.2234146341464
Bosnia and Herzegovina,1966,65.171
Belarus,1966,70.7689268292683
Switzerland,1966,72.3356097560976
Czechia,1966,70.3848780487805
Germany,1966,70.5215853658537
Denmark,1966,72.4441463414634
Spain,1966,71.0551219512195
Estonia,1966,69.627756097561
Finland,1966,69.4770731707317
France,1966,70.9609756097561
United Kingdom,1966,71.5731707317073
Greece,1966,71.7527073170732
Croatia,1966,68.1214390243903
Hungary,1966,69.8224390243902
Ireland,1966,70.2169512195122
Iceland,1966,73.3004878048781
